CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
9309	12965	4	0.7083	48.000
10686	12853	4	0.7872	76.031
3013	3175	4	0.7898	-15.994
12693	12965	4	0.7653	-3.011
3310	3509	4	0.8759	-60.021
2397	3175	4	0.8472	78.033
758	3509	4	0.9133	-60.021
12467	15791	4	0.8922	122.036
12488	12965	4	0.8001	30.972
8065	16826	4	0.7566	105.079
2397	7471	4	0.7883	-17.027
2124	13245	4	0.8116	0.000
1391	5869	4	0.9256	21.984
505	758	4	0.8335	100.052
1121	15791	4	0.9591	0.000
6545	10671	4	0.788	60.020
3310	8038	4	0.9036	-0.000
3153	7471	4	0.7782	2.015
1435	12853	4	0.8256	14.016
3790	12658	4	0.7202	-78.033
3175	13626	4	0.8139	13.978
1435	11429	4	0.7823	-14.016
4235	13379	4	0.918	60.022
3509	13626	4	0.8441	78.032
13245	14456	4	0.8338	-60.022
4777	5869	4	0.9292	-57.057
3013	13626	4	0.8364	-2.016
4235	12632	4	0.8234	-40.033
10819	15791	4	0.9555	-0.001
12488	16826	4	0.7048	122.035
11214	12853	4	0.7121	32.026
1741	3509	4	0.8403	62.015
322	3869	4	0.8863	2.016
758	1741	4	0.8403	-122.036
10234	14456	4	0.8827	2.015
4777	12467	4	0.9174	-62.015
3175	13245	4	0.8074	-0.001
1741	8038	4	0.8441	122.035
3310	15461	4	0.812	-139.063
10589	13268	4	0.7743	12.000
1741	4309	4	0.7731	44.988
3310	13379	4	0.8249	-15.994
1574	8065	4	0.7624	-28.031
1391	4777	4	0.9023	79.042
3711	9442	4	0.868	-0.001
3310	13626	4	0.8857	18.011
4309	15461	4	0.8417	-62.016
1574	9309	4	0.7328	-62.015
2772	12348	5	1.0	-0.000
13461	15472	7	0.7091	28.031
13422	17118	7	0.7243	180.114
12779	13422	7	0.759	28.032
12779	15976	7	0.7104	28.032
13422	15976	7	0.7788	-0.001
13422	15472	7	0.7243	-17.028
5651	17118	7	0.7185	16.031
1600	3574	8	0.7108	-2.015
1842	10701	10	0.9461	-0.000
1181	1475	10	0.7183	-388.079
1475	1696	10	0.8058	388.079
1944	10701	10	0.7827	-14.016
5845	9001	10	0.7896	-17.027
7404	8159	10	0.7906	0.000
7404	8313	10	0.7739	-30.011
1475	1842	10	0.8563	433.137
1475	1809	10	0.837	17.026
1944	15644	10	0.7643	15.995
1475	9001	10	0.7325	416.111
1809	5845	10	0.8795	416.111
2646	9001	10	0.8545	28.031
1385	5845	10	0.8583	433.137
1696	8159	10	0.7479	30.011
1809	2646	10	0.8905	371.053
5845	10750	10	0.8646	30.011
1341	2646	10	0.7866	134.021
1696	9001	10	0.7392	28.032
1944	5845	10	0.8028	-14.016
2646	5845	10	0.8106	45.058
7404	9623	10	0.7736	-134.022
2646	9473	10	0.8251	28.031
1385	10701	10	0.8729	433.137
1809	10701	10	0.8538	416.111
1944	10750	10	0.8661	15.995
1475	8313	10	0.8876	388.079
9001	9473	10	0.762	-0.000
1696	9473	10	0.7951	28.031
1475	10701	10	0.8397	433.137
1385	9001	10	0.8538	416.111
9473	10701	10	0.8257	17.027
1385	1475	10	0.8906	0.000
8159	15644	10	0.8295	45.058
1696	2646	10	0.776	0.000
1842	10750	10	0.8001	30.011
9623	15644	10	0.7051	179.080
8313	9473	10	0.8551	28.031
9001	14146	10	0.7345	-14.016
1385	2646	10	0.888	388.079
1842	5845	10	0.8477	-0.000
1181	9001	10	0.8218	28.031
1842	1944	10	0.7749	14.016
1341	9001	10	0.7888	162.053
1181	1341	10	0.7446	-134.022
5845	10701	10	0.8882	0.000
7404	10750	10	0.8432	45.058
1696	8313	10	0.7856	0.000
1475	9473	10	0.8979	416.110
1385	9473	10	0.8642	416.110
1385	8313	10	0.8702	388.079
1842	8313	10	0.8469	-45.058
1809	8313	10	0.8193	371.053
1809	9001	10	0.8437	399.085
8159	10750	10	0.7147	45.058
1341	14146	10	0.739	148.037
1842	9473	10	0.8265	-17.027
7404	15644	10	0.7752	45.058
2646	7404	10	0.8857	30.011
1181	14146	10	0.7125	14.015
5845	16515	10	0.7731	-30.010
10750	15644	10	0.7662	0.000
1181	2646	10	0.8162	-0.000
1958	16515	10	0.7714	45.059
2290	8159	10	0.7533	15.995
1385	1842	10	0.8634	433.137
5845	9473	10	0.7622	-17.027
8159	9623	10	0.7258	-134.022
10701	10750	10	0.8236	30.011
1696	7404	10	0.7911	30.011
1809	1842	10	0.847	416.111
1475	2646	10	0.7999	388.079
1385	1696	10	0.8012	388.079
1181	7404	10	0.7849	30.010
1696	1809	10	0.7775	-371.053
8159	8313	10	0.809	-30.011
1809	9473	10	0.8416	399.084
1385	1809	10	0.928	17.026
8313	10701	10	0.8374	45.058
2290	7404	10	0.7965	15.995
10809	11467	11	0.9294	-30.011
260	8185	11	0.9397	-30.011
3113	17131	11	0.9682	162.054
3181	3194	11	0.9142	0.001
7559	11467	11	0.9592	-0.001
268	16846	11	0.9058	-92.010
3148	3995	11	0.9107	15.996
1887	8185	11	0.9613	-30.011
3194	10809	11	0.9117	132.042
260	1887	11	0.9409	-0.000
260	348	11	0.9625	-30.011
3113	7559	11	0.902	132.044
3995	11467	11	0.9591	-162.054
2796	8546	11	0.9424	17.027
348	1887	11	0.9416	30.011
3181	17131	11	0.9404	132.041
5469	8546	11	0.9909	-0.000
260	7317	11	0.9283	30.010
348	8185	11	0.9561	0.000
3194	17131	11	0.9117	132.041
2796	2993	11	0.9146	-162.053
3213	3995	11	0.9069	-134.072
260	16846	11	0.9272	-132.043
3113	11467	11	0.9148	132.043
3995	10809	11	0.9089	-132.043
2993	3148	11	0.9218	-15.994
348	7317	11	0.9314	60.021
5469	7178	11	0.9139	15.995
7559	17131	11	0.9343	30.010
2993	3113	11	0.9158	-294.096
7178	8546	11	0.9195	-15.995
3995	7559	11	0.9533	-162.053
2169	8185	11	0.9507	86.002
3363	7178	11	0.9662	-0.000
2409	16846	11	0.9139	44.026
7316	16846	11	0.9073	44.026
3407	17131	11	0.9152	15.995
3181	7559	11	0.9127	102.032
2409	7316	11	0.951	-0.000
2796	3671	11	0.9331	-0.000
2796	5469	11	0.9395	17.027
3671	8546	11	0.9006	17.027
260	12321	11	0.9274	-58.042
260	268	11	0.9396	-40.033
2796	11467	11	0.9186	-324.106
2993	11467	11	0.9728	-162.053
12321	16846	11	0.9051	-74.001
268	3213	11	0.9491	30.012
348	2169	11	0.9428	-86.002
3995	17131	11	0.9089	-132.044
3181	11467	11	0.9039	102.031
3113	3181	11	0.9242	30.012
2993	3181	11	0.9077	-264.084
7559	10809	11	0.9343	30.011
2993	7559	11	0.9634	-162.052
3113	10809	11	0.9682	162.055
348	2440	11	0.9121	-86.001
2993	10809	11	0.928	-132.042
2993	3995	11	0.9571	0.001
11467	17131	11	0.9294	30.010
3113	4162	11	0.9005	162.054
2993	17131	11	0.928	-132.042
10809	17131	11	1.0	-0.001
3181	10809	11	0.9404	132.042
3148	3407	11	0.9347	-132.043
268	12321	11	0.9468	-18.009
3407	10809	11	0.9152	15.996
4519	7494	13	0.9148	0.000
3732	10825	14	0.7294	-0.073
1848	3732	14	0.8234	270.121
3329	3732	14	0.9751	-0.000
3329	10825	14	0.7397	-0.073
1848	11273	14	0.9449	-308.020
3329	7300	14	0.9422	-14.016
1848	3329	14	0.8357	270.122
3732	7300	14	0.9533	-14.016
10406	14716	16	0.8574	-54.047
3524	13690	16	0.8312	2.016
12828	14820	16	0.7529	-42.011
8594	13828	16	0.8871	-28.032
473	13929	16	0.8336	28.031
3524	14231	16	0.8261	2.015
13828	14716	16	0.9025	-17.026
10406	14255	16	0.7916	2.015
10808	14820	16	0.722	14.051
1305	16663	16	0.8434	28.031
3078	13845	16	0.735	2.016
2075	13500	16	0.8736	-26.015
10632	15195	16	0.7858	46.043
12854	14255	16	0.8001	18.010
13280	14820	16	0.717	42.083
12058	13500	16	0.8963	2.015
1305	15345	16	0.8524	-0.001
2145	15195	16	0.778	-10.021
12828	17084	16	0.71	-10.021
2075	10406	16	0.8968	-17.026
1305	13828	16	0.8859	-56.063
12058	13828	16	0.8657	-26.017
15195	16965	16	0.7709	38.053
15195	15339	16	0.7951	28.031
14255	14707	16	0.8078	-28.031
13500	13828	16	0.8871	-28.032
2075	14346	16	0.8582	18.011
10406	14820	16	0.7318	-13.980
2145	16965	16	0.8721	28.032
10406	14707	16	0.8367	-26.016
473	13500	16	0.8168	35.037
13502	13845	16	0.9011	28.033
3524	13828	16	0.8728	-28.031
14255	14716	16	0.7619	-56.062
14707	14716	16	0.8314	-28.032
2075	13828	16	0.8616	-54.047
9657	12058	16	0.8738	-56.064
2145	13502	16	0.8379	-54.047
5235	13502	16	0.8429	-26.016
9657	12828	16	0.8026	-17.029
11555	15345	16	0.8085	56.063
3078	16965	16	0.7416	56.063
473	14707	16	0.8157	18.010
2075	11555	16	0.8591	-54.047
9657	16633	16	0.8414	-84.094
1305	3524	16	0.9424	-28.032
11555	14716	16	0.919	-17.027
13280	14255	16	0.7673	58.078
10808	13280	16	0.8944	-28.032
2075	12058	16	0.9441	-28.030
13280	14707	16	0.8135	30.047
13690	14231	16	0.8952	-0.000
10632	13845	16	0.8266	30.049
473	8594	16	0.8168	35.037
10632	13502	16	0.8147	2.016
13500	15345	16	0.8449	28.031
12828	14255	16	0.7957	-26.016
473	12854	16	0.8379	28.031
473	14716	16	0.766	-10.021
13280	14716	16	0.7914	2.016
10406	12828	16	0.8902	28.031
2145	14346	16	0.7726	31.989
13502	16965	16	0.7979	82.079
5235	15195	16	0.7818	18.011
3524	15345	16	0.8221	28.031
3531	14231	16	0.8122	28.030
13690	14734	16	0.8237	-28.031
13845	15339	16	0.7132	44.025
10406	14346	16	0.7713	35.037
12854	14716	16	0.7282	-38.052
12854	14953	16	0.7165	-44.026
2075	9657	16	0.8571	28.034
14255	15345	16	0.8001	17.027
10632	14346	16	0.8142	88.053
7256	15339	16	0.7045	12.036
1305	11555	16	0.9057	-56.063
13500	14707	16	0.8377	-17.027
2145	10632	16	0.9238	-56.064
2145	13845	16	0.8129	-26.015
3078	10632	16	0.7889	-28.032
15992	17084	16	0.8557	28.031
473	14953	16	0.708	-15.995
14346	14734	16	0.7525	-70.042
2145	5235	16	0.9504	-28.032
9657	13656	16	1.0	-0.000
12828	14707	16	0.7857	-54.047
10406	13280	16	0.8906	-56.063
10808	14255	16	0.771	30.046
10406	10808	16	0.9386	-28.031
12828	14716	16	0.7595	-82.079
3524	12058	16	0.9003	-2.014
3524	11555	16	0.8929	-28.031
1305	8594	16	0.919	-28.031
11555	13690	16	0.8055	30.047
10808	14707	16	0.8369	2.015
13828	15345	16	0.8192	56.063
13280	16633	16	0.8651	17.029
14231	14734	16	0.8288	-28.031
5235	14346	16	0.7986	60.021
3524	13500	16	0.9413	0.000
3524	8594	16	0.9413	0.001
12058	13656	16	0.8738	56.063
10808	12058	16	0.9114	17.027
5235	16965	16	0.8642	56.064
3531	13690	16	0.7973	28.031
3078	15195	16	0.7407	18.010
13690	16147	16	0.8776	-28.031
3078	15339	16	0.7089	46.041
5235	13845	16	0.8155	2.017
8594	12058	16	0.8963	-2.015
8594	13500	16	1.0	-0.000
13845	15195	16	0.7528	15.994
14734	16147	16	0.847	0.000
1305	2075	16	0.8615	-2.016
2075	8594	16	0.8736	-26.015
2075	3524	16	0.8745	-26.016
11555	12058	16	0.8681	26.017
10632	16965	16	0.8608	84.096
9657	15345	16	0.8037	-26.018
15339	16965	16	0.7674	10.022
12854	15345	16	0.8095	35.037
5235	10632	16	0.9414	-28.032
13656	16633	16	0.8414	-84.094
10808	12828	16	0.8903	56.062
8594	11555	16	0.9066	-28.032
12828	13656	16	0.8026	17.028
3078	5235	16	0.7649	-0.000
13502	15195	16	0.7792	44.027
2075	13656	16	0.8571	28.033
3531	16663	16	0.7729	82.078
12828	13280	16	0.8932	-84.094
11555	13828	16	0.9065	-0.000
