structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q105032826,344.1492488,0,"(1R,3R)-3-(2-hydroperoxypropan-2-yl)-5-methoxy-1,3,4,6-tetrahydropyrano[4,3-b]carbazol-1-ol",C19H21NO5
http://www.wikidata.org/entity/Q105187828,344.1492488,0,"(2R)-3-methyl-1-(4,6,7-trimethoxyfuro[2,3-b]quinolin-5-yl)but-3-en-2-ol",C19H21NO5
http://www.wikidata.org/entity/Q104172143,344.1128633,0,Toddaliopsin C,C18H17NO6
http://www.wikidata.org/entity/Q82434074,344.1128633,0,6-Methoxytecleanthine,C18H17NO6
http://www.wikidata.org/entity/Q105121574,343.2631563,0,NA,C23H34O2
http://www.wikidata.org/entity/Q105121575,343.2631563,0,3-n-Heptadecatrienylcatechol,C23H34O2
http://www.wikidata.org/entity/Q105161796,343.2631563,0,NA,C23H34O2
http://www.wikidata.org/entity/Q105161797,343.2631563,0,"4-Heptadeca-1,3,5-trienylbenzene-1,2-diol",C23H34O2
http://www.wikidata.org/entity/Q105192557,343.2631563,0,"2-Heptadeca-10,13,15-trienylbenzene-1,4-diol",C23H34O2
http://www.wikidata.org/entity/Q110176518,343.2631563,0,NA,C23H34O2
http://www.wikidata.org/entity/Q105192558,343.2631563,0,"10'(Z),13'(E),15'(E)-Heptadecatrienylhydroquinone",C23H34O2
http://www.wikidata.org/entity/Q104196229,343.2267708,0,"2-Hydroxy-6-pentadeca-8,11,14-trienylbenzoic acid",C22H30O3
http://www.wikidata.org/entity/Q527648,343.2267708,0,"2-hydroxy-6-[(8Z,11Z)-pentadeca-8,11,14-trienyl]benzoic acid",C22H30O3
http://www.wikidata.org/entity/Q105277441,343.2267708,0,"(1S,2R,5R,11R,12R,15R)-2,6,6,11-tetramethyl-7-oxapentacyclo[13.3.1.01,15.02,12.05,11]nonadec-9-ene-3,8-dione",C22H30O3
http://www.wikidata.org/entity/Q105309713,343.2267708,0,"(8R,9S,10R,13S,14S,17E)-17-(1-methoxyethylidene)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione",C22H30O3
http://www.wikidata.org/entity/Q105343316,343.2267708,0,Malabanone A,C22H30O3
http://www.wikidata.org/entity/Q110190416,343.1903853,0,"methyl 1,2-dimethyl-1-[2-(5-oxo-2H-furan-4-yl)ethyl]-2,3,4,5-tetrahydrobenzo[7]annulene-6-carboxylate",C21H26O4
http://www.wikidata.org/entity/Q7181238,343.1772607,0,Phellodendrine,C20H24NO4+
http://www.wikidata.org/entity/Q105350270,343.1772607,0,(+)-Magnoflorine (iodide),C20H24NO4+
http://www.wikidata.org/entity/Q15426208,343.1772607,0,Magnoflorine,C20H24NO4+
http://www.wikidata.org/entity/Q105372751,343.1772607,0,Laurifoline,C20H24NO4+
http://www.wikidata.org/entity/Q104395090,343.1772607,0,"(6aR)-2,10-dimethoxy-6,6-dimethyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinolin-6-ium-1,9-diol",C20H24NO4+
